created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Oct 09 12:06:44 +0000 2023;1711352495212302375;"Kata gua juga ape. Tiktok shop ditutup gakbikin tanah abang jd rame semua sektor lg ngalamin krisis konsumen ko";0;0;0;0;in;1693268956671537152;1711352495212302375;raincityfinest;https://twitter.com/raincityfinest/status/1711352495212302375
Mon Oct 09 12:01:34 +0000 2023;1711351192910213502;"Ini pedagang di tanah abang mau nya lo pada apaan sih hah??  Tiktok shop udah ditutup sesuai kemauan lo kan, skrg malah minta e-commerce macam tokopedia, shoppee ikut ditutup juga?  Kalo dagangan lo emang kagak laku gausah bawa-bawa lapak lain nya, tolol banget mindset nya";1;4;0;16;in;1444232957292544000;1711351192910213502;abangdidii;https://twitter.com/abangdidii/status/1711351192910213502
Mon Oct 09 11:53:36 +0000 2023;1711349188364222471;"@tanyarlfes gue maklumin kalo tiktok shop ditutup karna emang promosinya gede2an bgt yg buat umkm lain kalah jauh. tapi bukan berarti online shop lain harus ditutup juga ye anjir gue mau belanja dimana ntarr?! 🥹🫵🏻";0;0;0;0;in;1170894972570107904;1711234356080255474;ovtaboutya;https://twitter.com/ovtaboutya/status/1711349188364222471
Mon Oct 09 11:47:24 +0000 2023;1711347626480980078;"Pedagang tanah abang nih apa banget yak sudah lah minta tiktok shop ditutup pake minta e-commerce  lain ditutup pula. Dikira indonesia ini tinggal di jakarta kabeh apa y😮‍💨";0;0;0;1;in;2994651206;1711347626480980078;finkyseptira;https://twitter.com/finkyseptira/status/1711347626480980078
Mon Oct 09 11:46:59 +0000 2023;1711347524001493048;"@tanyarlfes Banyak mau udah tau money flow orang banyak buat ngedepo judol/slot malah yg didemo tiktok shop, itu platform mempermudah menjangkau penjual diluar Jakarta lewat live/fitur toko onlinenya malah minta ditutup, noh judol di demo biar cepet diblokir";0;0;0;0;in;545981076;1711234356080255474;ariefffbud;https://twitter.com/ariefffbud/status/1711347524001493048
Mon Oct 09 11:45:34 +0000 2023;1711347165552087195;"TikTok Shop Ditutup, Selebritas Ungkapkan Kekecewaan dari Ruben Onsu sampai Alice Norin #TempoSeleb https://t.co/BY8Zi5nriP";0;0;0;3;in;18129942;1711347165552087195;tempodotco;https://twitter.com/tempodotco/status/1711347165552087195
Mon Oct 09 11:42:27 +0000 2023;1711346383180177566;"@txtdarionlshop Tiktokshop ditutup emangnya untuk menyelamatkan pedagang offline ? Apakah tidak GR ?";0;0;0;0;in;167749239;1711256549241638984;Sonydertha;https://twitter.com/Sonydertha/status/1711346383180177566
Mon Oct 09 11:31:38 +0000 2023;1711343660275761206;"TikTok Shop ditutup, lalu pada minta Shopee dan Lazada ditutup juga.  Ada yang belum kesebut?";4;38;4;38;in;1457701454;1711343660275761206;MikaelDewabrata;https://twitter.com/MikaelDewabrata/status/1711343660275761206
Mon Oct 09 11:27:39 +0000 2023;1711342659934232576;"@mengsimeow @kegblgnunfaedh Itu gk ditutup permanen, cuma harus ikut regulasi yg ad.. contohnya sj mengutamakan produk dl negri, sementara tiktok shop itu bebas barang dr mana sj dia ambil. dan gk punya izin e-commerce juga";0;1;0;0;in;1680434899797573633;1711305579959062757;aaroonidn;https://twitter.com/aaroonidn/status/1711342659934232576
Mon Oct 09 11:23:25 +0000 2023;1711341591648997789;"Padahal di tiktokshop banyak banget orang tua renta sama penyandang disabilitas yang berusaha jatuh bangun jualan lewat situ. Ini yang lengkap, umurnya masih pada muda muda malah minta ditutup. Andai pemerintah liat lebih jauh lagi dan gak asal main tutap tutup aja";0;0;0;0;in;1633360634904707073;1711341591648997789;ASAPossiblee;https://twitter.com/ASAPossiblee/status/1711341591648997789
